label	cell_type
SC_96279_36_11	cHF	CM
SC_96279_69_44	cHF	EC
SC_96279_31_1	cHF	SMC
SC_96279_69_27	cHF	EC
SC_96279_36_65	cHF	CM
SC_96279_29_29	cHF	SMC
SC_96279_65_35	cHF	EC
SC_96279_69_0	cHF	EC
SC_96279_62_3	cHF	CM
SC_96279_29_23	cHF	EC
SC_96279_63_49	cHF	EC
SC_96279_70_11	cHF	SMC
SC_96279_71_53	cHF	MP
SC_96279_63_16	cHF	EC
SC_96279_58_1	cHF	CM
SC_96279_40_54	cHF	CM
SC_96279_66_3	cHF	SMC
SC_96279_71_4	cHF	EC
SC_96279_62_30	cHF	CM
SC_96279_0_37	cHF	CM
SC_96279_50_19	cHF	CM
SC_96279_68_55	cHF	EC
SC_96279_70_50	cHF	EC
SC_96279_25_0	cHF	CM
SC_96279_71_9	cHF	EC
SC_96279_67_47	cHF	EC
SC_96279_66_27	cHF	FB
SC_96279_69_59	cHF	SMC
SC_96279_12_56	cHF	CM
SC_96279_68_53	cHF	SMC
SC_96279_67_52	cHF	SMC
SC_96279_14_24	cHF	CM
SC_96279_70_22	cHF	SMC
SC_96279_50_6	cHF	CM
SC_96279_71_62	cHF	EC
SC_96279_49_7	cHF	CM
SC_96279_56_35	cHF	CM
SC_96279_69_48	cHF	EC
SC_96279_66_69	cHF	EC
SC_96279_53_47	cHF	CM
SC_96279_67_70	cHF	EC
SC_96279_69_25	cHF	EC
SC_96279_69_46	cHF	EC
SC_96279_50_2	cHF	CM
SC_96279_68_43	cHF	SMC
SC_96279_62_10	cHF	CM
SC_96279_62_55	cHF	CM
SC_96279_61_4	cHF	CM
SC_96279_66_19	cHF	EC
SC_96279_65_45	cHF	EC
SC_96279_24_59	cHF	CM
SC_96279_51_55	cHF	CM
SC_96279_43_61	cHF	CM
SC_96279_68_58	cHF	EC
SC_96279_3_4	cHF	CM
SC_96279_41_13	cHF	CM
SC_96279_48_60	cHF	CM
SC_96279_68_50	cHF	EC
SC_96279_70_18	cHF	SMC
SC_96279_44_67	cHF	CM
SC_96279_64_69	cHF	SMC
SC_96279_36_63	cHF	CM
SC_96279_68_63	cHF	SMC
SC_96279_8_30	cHF	CM
SC_96279_66_42	cHF	EC
SC_96279_68_23	cHF	EC
SC_96279_69_38	cHF	EC
SC_96279_53_12	cHF	CM
SC_96279_27_24	cHF	FB
SC_96279_30_37	cHF	EC
SC_96279_68_59	cHF	EC
SC_96279_64_66	cHF	EC
SC_96279_65_58	cHF	EC
SC_96279_65_23	cHF	EC
SC_96279_9_63	cHF	CM
SC_96279_65_4	cHF	EC
SC_96279_71_57	cHF	EC
SC_96279_54_34	cHF	CM
SC_96279_16_53	cHF	CM
SC_96279_71_14	cHF	EC
SC_96279_48_11	cHF	CM
SC_96279_66_48	cHF	EC
SC_96279_70_60	cHF	EC
SC_96279_67_29	cHF	MP
SC_96279_5_44	cHF	CM
SC_96279_68_41	cHF	EC
SC_96279_60_28	cHF	CM
SC_96279_32_9	cHF	EC
SC_96279_3_35	cHF	CM
SC_96279_66_55	cHF	EC
SC_96279_66_40	cHF	EC
